owner,artist,plays,minutes,first_played,last_played,rank_in_owner,shared_by_both
Or,Imagine Dragons,13107,23151.9,2018-09-16,2026-05-22,1,True
Or,Idan Raichel,5512,9388.0,2018-09-20,2026-05-22,2,True
Or,Taylor Swift,5482,12681.5,2018-09-16,2026-05-22,3,True
Or,התקווה 6,2909,5328.5,2018-09-24,2026-05-22,4,False
Or,Harel Skaat,2586,3266.9,2018-09-18,2026-05-22,5,True
Or,עידן רפאל חביב,2531,3670.4,2018-11-05,2026-05-20,6,False
Or,Tones And I,2362,4723.7,2019-09-03,2026-05-22,7,True
Or,Sam Smith,2171,3154.4,2018-09-18,2026-05-19,8,True
Or,OneRepublic,1823,3041.8,2018-09-17,2026-05-22,9,True
Or,Ed Sheeran,1774,3236.3,2018-09-16,2026-05-22,10,True
Or,חנן בן ארי,1766,3214.3,2018-11-02,2026-05-22,11,False
Or,Queen,1629,3451.8,2018-11-24,2026-05-22,12,True
Or,Justin Timberlake,1347,3800.0,2019-10-12,2026-05-22,13,True
Or,Sia,1319,2346.5,2018-09-16,2026-05-22,14,True
Or,ישי ריבו,1254,2305.6,2018-09-18,2026-05-20,15,False
Or,Nathan Goshen,1156,2049.0,2018-09-20,2026-05-14,16,True
Or,twenty one pilots,1117,1950.7,2018-09-27,2026-05-19,17,False
Or,Maroon 5,1068,1417.2,2018-09-17,2026-05-22,18,True
Or,Full Trunk,1022,1943.2,2019-10-24,2026-05-20,19,True
Or,"Bruno Mars, Anderson .Paak & Silk Sonic",1005,2137.4,2021-05-30,2026-05-22,20,False
Or,Coldplay,992,1713.9,2018-09-18,2026-05-19,21,True
Or,עידן עמדי,868,1195.6,2018-10-12,2026-05-22,22,False
Or,LSD,831,1371.7,2018-09-16,2026-05-19,23,False
Or,עדן חסון,693,943.7,2018-09-16,2026-05-15,24,False
Or,רן דנקר,676,1021.0,2018-11-18,2026-05-22,25,False
Or,Bruno Mars,543,871.9,2018-09-20,2026-05-20,26,True
Or,Beyoncé,529,1062.6,2018-09-27,2026-05-19,27,True
Or,נועה קירל,515,880.8,2019-02-10,2026-05-22,28,False
Or,Harry Styles,495,753.3,2019-11-22,2026-05-22,29,True
Or,Deva Mahal,453,705.9,2019-01-02,2026-05-22,30,False
Or,יובל דיין,437,669.7,2018-10-12,2026-05-20,31,False
Or,מארינה מקסימיליאן,434,807.0,2018-10-04,2026-05-19,32,False
Or,"משתתפי פסטיגל Freestyle, משה פרץ, נועה קירל & Eliana Tidhar",423,676.5,2018-09-28,2026-05-15,33,False
Or,Troy & Gabriella,395,887.8,2018-10-12,2026-05-19,34,False
Or,Dennis Lloyd,388,506.2,2018-09-28,2024-06-26,35,False
Or,Adele,355,782.6,2018-11-11,2026-05-19,36,False
Or,עילי בוטנר & אברהם אביב אלוש,340,711.9,2018-09-19,2023-11-06,37,False
Or,Lewis Capaldi,328,523.6,2019-08-18,2026-05-15,38,True
Or,שוטי הנבואה,323,490.6,2018-10-21,2026-05-14,39,False
Or,עומר אדם,316,287.3,2018-09-23,2026-04-07,40,False
Or,בניה ברבי,313,373.1,2018-09-28,2023-04-13,41,False
Or,רד בנד & אהוד בנאי,308,548.4,2018-11-04,2025-06-18,42,False
Or,אביתר בנאי,300,247.0,2018-09-17,2020-11-07,43,False
Or,Raviv Kaner,298,534.3,2020-08-07,2026-05-15,44,False
Or,Joel Corry,283,694.6,2020-07-04,2026-05-18,45,False
Or,הכוכב הבא & כתריה,279,900.1,2019-01-16,2026-05-21,46,False
Or,Static & Ben El,277,436.9,2018-09-18,2026-05-21,47,True
Or,Jonas Brothers,275,433.7,2019-03-14,2026-05-02,48,True
Or,Eden Alene,271,427.1,2020-02-28,2026-05-17,49,False
Or,Asaf Avidan,253,293.6,2019-12-09,2022-02-25,50,False
Or,The Cast of High School Musical,247,576.4,2018-10-12,2026-05-19,51,False
Or,הכוכב הבא & תאי,246,411.7,2019-01-16,2026-05-20,52,False
Or,Post Malone,243,278.9,2018-09-16,2026-05-07,53,True
Or,לירן דנינו,240,264.7,2018-09-16,2024-11-21,54,False
Or,רביד פלוטניק,237,416.1,2019-07-13,2026-05-19,55,False
Or,"Calvin Harris, Sam Smith",231,377.1,2018-09-24,2024-02-28,56,False
Or,Meghan Trainor,229,305.0,2018-09-18,2025-06-29,57,True
Or,George Ezra,225,369.8,2018-11-11,2026-05-19,58,True
Or,ישי ריבו & אמיר דדון,225,510.0,2019-01-07,2026-05-15,59,False
Or,Kodaline,224,358.1,2018-11-04,2026-05-17,60,False
Or,Sam Smith & Normani,218,376.8,2019-02-07,2024-02-18,61,False
Or,טונה,218,548.0,2018-09-28,2026-05-17,62,False
Or,אגם בוחבוט,216,342.7,2018-10-12,2026-05-15,63,False
Or,הכוכב הבא & אליה גבאי,216,340.1,2018-09-18,2026-04-25,64,False
Or,מוקי,215,251.7,2018-09-24,2023-04-13,65,False
Or,Johnny Balik,214,353.9,2019-01-16,2026-05-14,66,False
Or,דנה פרידר,214,378.6,2022-02-25,2026-05-15,67,False
Or,Marshmello & Bastille,210,233.4,2018-09-20,2025-06-29,68,False
Or,אמיר דדון,209,277.2,2018-11-27,2024-08-23,69,False
Or,דולי ופן & לירן דנינו,209,402.4,2019-11-16,2026-05-19,70,False
Or,Asaf Avidan & The Mojos,206,330.3,2019-12-09,2026-05-19,71,False
Or,Dean Lewis,206,343.5,2018-11-04,2026-05-20,72,True
Or,Rudimental,204,398.2,2018-09-16,2024-06-10,73,False
Or,The Beatles,202,353.3,2020-04-23,2026-05-21,74,True
Or,רד בנד & Full Trunk,194,449.2,2018-11-04,2026-04-08,75,False
Or,Michael Jackson,193,477.3,2020-07-09,2026-05-19,76,True
Or,רד בנד & Ninet Tayeb,192,277.9,2018-11-04,2026-05-06,77,False
Or,"Zedd, Maren Morris & Grey",190,283.3,2018-09-20,2026-05-16,78,False
Or,מוש בן ארי,185,383.9,2019-06-26,2026-04-11,79,False
Or,Marshmello & Anne-Marie,183,237.2,2018-09-24,2026-04-29,80,False
Or,Ed Sheeran & Justin Bieber,181,307.9,2019-05-11,2026-04-11,81,False
Or,Jacob Banks,181,316.8,2018-11-11,2026-05-21,82,True
Or,Rihanna,179,379.9,2018-11-11,2026-05-20,83,True
Or,Childish Gambino,177,241.5,2018-09-18,2024-11-21,84,True
Or,Kygo & Imagine Dragons,176,270.6,2018-09-20,2026-05-14,85,False
Or,Macklemore & Ryan Lewis,176,440.2,2018-09-17,2025-01-01,86,False
Or,Major Lazer,175,289.2,2018-11-04,2026-04-28,87,False
Or,Idan Raichel & סתיו בגר,173,339.7,2020-07-24,2026-05-22,88,False
Or,Sam Smith & Labrinth,173,456.9,2021-03-25,2024-03-12,89,False
Or,TeenAngels,171,233.7,2019-05-17,2026-05-15,90,False
Or,JP Cooper,161,170.0,2018-11-02,2024-11-21,91,False
Or,עדן בן זקן,160,235.6,2018-09-24,2026-05-02,92,False
Or,קיי ג'י סי,155,351.9,2020-10-30,2026-05-20,93,False
Or,Nicki Minaj,154,343.2,2021-05-21,2026-05-18,94,True
Or,שלומי שבן & הקאמרטה הישראלית ירושלים,154,388.2,2021-01-16,2026-05-20,95,False
Or,David Guetta & Sia,150,234.7,2018-09-24,2024-12-03,96,False
Or,Passenger,146,166.9,2018-09-18,2026-02-27,97,True
Or,נרקיס,146,302.3,2018-11-04,2026-02-22,98,False
Or,הכוכב הבא & Orr Amrami Brockman,139,225.8,2020-01-25,2024-03-13,99,False
Or,רד בנד & אביתר בנאי,139,286.3,2018-11-04,2021-12-08,100,False
Or,Anderson .Paak,138,189.8,2018-10-05,2026-02-27,101,False
Or,BTS,135,153.6,2021-06-03,2024-06-23,102,True
Or,איתי לוי,135,94.8,2018-09-24,2023-02-05,103,False
Or,הראל סקעת & אושר בחתה,135,176.3,2019-06-19,2023-11-05,104,False
Or,משתתפי הפסטיגל,134,254.3,2022-02-25,2023-12-29,105,False
Or,Netta,131,114.8,2018-09-24,2020-02-22,106,True
Or,רד בנד & אברהם טל,131,139.5,2018-11-04,2021-12-04,107,False
Or,"דולי ופן, דיקלה, עידן רפאל חביב & Mark Eliyahu",130,216.3,2020-06-12,2026-05-16,108,False
Or,Olivia Rodrigo,129,200.4,2021-02-12,2026-05-22,109,True
Or,YUNGBLUD,129,155.4,2019-10-10,2026-02-26,110,True
Or,רותם כהן,128,253.0,2019-03-05,2022-02-25,111,False
Or,5 Seconds of Summer,127,153.6,2018-09-28,2025-06-29,112,True
Or,AJR,127,244.3,2020-03-20,2026-05-19,113,True
Or,MEDUZA & Goodboys,126,123.5,2019-04-28,2023-04-13,114,False
Or,Rihanna and Kanye West and Paul McCartney,126,203.6,2020-07-31,2026-05-10,115,False
Or,Lama Lo,125,163.5,2020-09-12,2026-04-22,116,False
Or,הכוכב הבא & Kobi Marimi,124,157.2,2019-01-23,2026-05-12,117,False
Or,בית הבובות,123,175.0,2019-01-28,2022-10-31,118,False
Or,The Vamps,120,168.0,2018-09-17,2026-05-07,119,True
Or,מירי מסיקה & מיקה משה,120,257.7,2022-01-14,2026-05-14,120,False
Or,שירי מימון,120,255.9,2019-11-22,2026-05-10,121,False
Or,Drake,119,93.0,2018-09-16,2026-04-29,122,True
Or,The Chainsmokers & Coldplay,119,194.2,2018-09-28,2026-05-16,123,False
Or,MKTO,118,148.1,2020-03-24,2022-02-25,124,True
Or,KALEO,117,207.3,2020-08-01,2026-04-10,125,True
Or,DJ Snake,115,219.2,2018-10-05,2024-11-21,126,True
Or,Lady Gaga,115,176.2,2020-05-06,2026-05-06,127,True
Or,Disclosure,114,174.1,2019-05-08,2023-10-26,128,False
Or,Lady Gaga & Bradley Cooper,114,136.6,2018-11-02,2026-05-20,129,False
Or,SZA & Justin Timberlake,114,156.1,2020-04-23,2026-05-07,130,False
Or,Justin Bieber,113,159.0,2020-01-20,2026-05-19,131,True
Or,'נדב גדג,112,189.5,2018-09-16,2024-11-21,132,False
Or,Mark Ronson,111,244.5,2019-02-07,2026-05-19,133,True
Or,SHAED,108,132.2,2018-11-04,2024-06-14,134,False
Or,Mergui,107,171.6,2018-10-05,2023-04-13,135,True
Or,Keren Peles & רוני אלטר,106,217.4,2020-04-12,2024-06-26,136,False
Or,אמיר דדון & Israel Philharmonic Orchestra,106,157.3,2019-12-16,2023-12-17,137,False
Or,מארינה מקסימיליאן & Guy Mentesh,105,147.9,2021-02-18,2024-03-05,138,False
Or,דיקלה,104,166.5,2019-12-09,2024-05-11,139,False
Or,"עדן בן זקן, Static & Ben El & Stephane Legar",104,152.1,2019-01-16,2020-06-08,140,False
Or,"Lil Wayne, Wiz Khalifa & Imagine Dragons",103,154.5,2018-09-27,2026-05-11,141,False
Or,Paul Simon,103,206.9,2020-10-23,2026-05-22,142,False
Or,The Weeknd,103,120.5,2018-09-16,2023-01-31,143,True
Or,Lee B. & Eliana Tidhar,99,130.8,2019-02-05,2024-11-21,144,False
Or,Katy Perry,98,309.8,2023-01-26,2026-05-22,145,True
Or,James Smith,97,112.7,2021-02-19,2026-05-08,146,False
Or,Imagine Dragons & JID,92,157.9,2021-11-28,2026-05-22,147,False
Or,Jasmin Moallem & טונה,92,155.8,2020-11-07,2026-04-22,148,False
Or,Ariana Grande,91,150.9,2018-10-05,2026-05-15,149,True
Or,Kobi Marimi,91,113.7,2019-03-14,2022-02-25,150,False
Or,Noa Kirel & כאן - תאגיד השידור הישראלי,91,163.2,2023-03-12,2026-05-19,151,False
Or,Shawn Mendes,91,82.1,2018-09-23,2026-04-30,152,True
Or,Michael Jackson & Justin Timberlake,88,194.2,2019-10-12,2026-05-09,153,False
Or,אפרת בוימבלד,88,192.0,2022-02-25,2026-05-20,154,False
Or,Demi Lovato,87,149.4,2018-12-13,2026-05-20,155,True
Or,אמיר ובן & ג'יין בורדו,87,159.7,2020-08-14,2024-05-31,156,False
Or,Macklemore & Tones And I,86,260.3,2022-08-19,2025-09-29,157,False
Or,הכוכב הבא & Raviv Kaner,86,169.2,2020-01-25,2026-05-12,158,False
Or,רן דנקר & אליה רוסיליו,84,143.2,2020-08-22,2026-05-22,159,False
Or,Miley Cyrus,82,231.7,2023-01-26,2026-05-20,160,True
Or,טונה & Jasmin Moallem,82,216.4,2022-09-22,2026-05-11,161,False
Or,Halsey,80,79.0,2019-02-07,2026-05-06,162,True
Or,Troye Sivan,79,66.1,2018-09-16,2024-11-21,163,True
Or,הילי ילון & אלון עדר,78,54.8,2018-11-23,2024-12-02,164,False
Or,"Cardi B, Bad Bunny & J Balvin",77,129.0,2018-09-24,2026-04-28,165,False
Or,Lady Gaga & Ariana Grande,77,121.9,2020-08-08,2026-03-21,166,False
Or,Noga Erez,77,130.7,2021-05-28,2024-06-03,167,False
Or,Simon & Garfunkel,75,174.3,2023-01-20,2026-05-15,168,False
Or,אנה זק,75,156.3,2020-02-24,2026-05-20,169,False
Or,Billie Eilish,73,67.7,2018-11-04,2026-04-30,170,True
Or,Dua Lipa,73,79.2,2018-09-28,2026-04-29,171,True
Or,Dynoro & Gigi D'Agostino,72,86.6,2018-11-25,2020-01-22,172,False
Or,Lola Marsh,72,109.6,2019-11-22,2023-04-13,173,False
Or,הראל סקעת & אניה בוקשטיין,72,122.7,2020-12-24,2023-12-26,174,False
Or,The Band,71,191.4,2023-03-03,2026-05-19,175,False
Or,Matt Simons,70,103.5,2018-11-04,2026-05-22,176,False
Or,GAYLE,69,146.6,2022-01-02,2026-05-18,177,True
Or,עברי לידר,69,103.6,2018-09-29,2022-10-17,178,False
Or,Clean Bandit,68,87.8,2018-09-20,2026-04-29,179,True
Or,Family of the Year,67,110.2,2022-11-25,2026-05-14,180,False
Or,Bill Withers,65,92.6,2021-09-10,2026-05-15,181,False
Or,Cyndi Lauper,63,107.0,2021-03-25,2025-07-17,182,True
Or,X Ambassadors,63,59.4,2018-10-04,2019-08-04,183,True
Or,"ישי ריבו, עמיר בניון & אמיר דדון",63,114.6,2019-08-17,2020-11-08,184,False
Or,עומר אדם & Richie Loop,63,82.3,2019-06-26,2020-06-05,185,False
Or,Idan Shneor,62,70.7,2020-02-06,2022-02-18,186,False
Or,Jonas Blue,62,90.2,2018-09-24,2024-11-21,187,True
Or,Stevie Wonder,62,93.6,2019-01-27,2026-04-01,188,False
Or,התקווה 6 & Infected Mushroom,62,138.9,2019-06-26,2020-12-10,189,False
Or,אברהם טל,60,83.3,2019-06-26,2023-06-09,190,False
Or,Jason Derulo,59,86.8,2018-09-18,2026-04-30,191,True
Or,אורי בן ארי,58,36.1,2018-09-28,2022-10-31,192,False
Or,Roy Orbison,57,112.9,2023-01-20,2026-04-27,193,False
Or,"The Cast of High School Musical, Vanessa Hudgens, Lucas Grabeel, Zac Efron & Olesya Rulin",57,115.4,2018-10-13,2026-05-22,194,False
Or,James Blake,56,49.9,2019-02-28,2020-02-24,195,False
Or,James Blunt,56,83.3,2018-09-17,2026-04-30,196,False
Or,גיל ויין,56,73.0,2018-09-28,2024-11-21,197,False
Or,"נועה קירל, Forever Tel Aviv & Sagi Kariv",55,107.8,2023-09-23,2026-02-22,198,False
Or,אושר כהן,54,43.6,2018-10-05,2024-05-07,199,False
Or,דולי ופן & Idan Raichel,54,86.7,2022-04-25,2025-02-26,200,False
Or,Eminem,52,55.0,2018-09-16,2023-12-28,201,True
Or,Natalie Taylor,52,72.8,2020-04-30,2021-12-31,202,False
Or,ג'יין בורדו,52,33.8,2018-09-17,2023-06-09,203,False
Or,Nina Simone,51,96.6,2023-01-21,2026-05-08,204,False
Or,נועה קירל & Ilan Peled,51,102.5,2022-08-21,2026-05-06,205,False
Or,נועה קירל & גיתית פישר,51,142.8,2023-09-23,2026-05-20,206,False
Or,רד בנד & Keren Peles,51,87.4,2018-11-04,2024-11-21,207,False
Or,Andrew Gold,50,16.2,2024-05-05,2026-01-09,208,False
Or,Omer Netzer,50,46.4,2019-03-28,2019-08-02,209,False
Or,הכוכב הבא & אלה לי,50,67.7,2020-02-06,2026-04-28,210,False
Or,מרסדס בנד,50,42.4,2020-11-07,2024-03-13,211,False
Or,Eden Golan,49,110.0,2024-05-12,2026-05-19,212,True
Or,אליענה בקייר,49,51.5,2022-02-25,2024-03-09,213,False
Or,Doja Cat,47,54.8,2021-02-18,2022-02-26,214,True
Or,Panic! At the Disco,47,59.8,2020-03-24,2026-04-30,215,False
Or,Sonny & Cher,47,112.4,2023-03-17,2026-04-01,216,False
Or,"דולי ופן, Beit Habubot & רותם כהן",47,46.8,2020-02-24,2022-01-09,217,False
Or,Alicia Keys,46,46.2,2018-10-12,2025-07-17,218,False
Or,Aretha Franklin,46,79.1,2022-05-04,2026-05-07,219,False
Or,Nathan Goshen & ישי ריבו,46,46.0,2019-11-25,2021-05-09,220,False
Or,אלה לי,45,59.0,2020-07-04,2021-09-13,221,False
Or,הכוכב הבא & Wanna Wanna,45,38.6,2019-01-16,2020-01-02,222,False
Or,Jason Derulo & David Guetta,44,61.7,2018-10-05,2019-06-21,223,False
Or,רד בנד & משינה,44,17.6,2018-11-04,2019-05-11,224,False
Or,Conkarah,43,89.8,2020-07-26,2022-01-07,225,False
Or,DJ Malka,43,63.9,2023-04-20,2026-05-15,226,False
Or,"Felix Jaehn, Hight & Alex Aiono",43,66.1,2018-09-18,2026-05-22,227,False
Or,יונתן רוזן,43,55.6,2018-10-21,2020-02-19,228,False
Or,Of Monsters and Men,42,106.6,2020-07-09,2026-05-17,229,False
Or,The Mamas & The Papas,42,89.7,2025-09-26,2026-04-06,230,False
Or,The Rolling Stones,42,58.2,2023-01-21,2026-05-08,231,False
Or,Elmo & Friends,41,50.1,2020-02-25,2020-02-27,232,False
Or,James Brown & The Famous Flames,41,73.5,2020-04-07,2026-05-12,233,False
Or,Jesus Jackson,41,114.1,2024-03-19,2026-02-27,234,False
Or,אליעד,41,71.0,2019-06-26,2022-01-03,235,False
Or,Bruce Springsteen,40,83.5,2018-12-24,2024-11-16,236,False
Or,theAngelcy,40,22.6,2019-01-21,2020-05-09,237,False
Or,Duncan Laurence,39,53.1,2019-05-30,2020-01-27,238,True
Or,Jake Bugg,39,41.9,2019-12-09,2021-12-07,239,False
Or,David Guetta,38,114.6,2024-12-03,2026-05-20,240,True
Or,Johnny Nash,38,71.1,2023-09-15,2026-05-20,241,False
Or,"MEDUZA, Becky Hill & Goodboys",38,52.0,2020-02-24,2026-05-19,242,False
Or,Surfaces,38,53.0,2020-02-24,2025-02-02,243,True
Or,עדן בן זקן & עדן חסון,38,56.3,2019-07-04,2020-06-30,244,False
Or,Four Tops,37,82.7,2023-01-20,2026-04-12,245,False
Or,The Four Seasons,37,64.1,2023-02-04,2026-05-08,246,False
Or,Aya Nakamura,36,27.4,2018-11-24,2019-08-01,247,False
Or,Franky Wah,36,38.6,2020-06-15,2026-05-17,248,False
Or,הכוכב הבא & Naama Gali,36,42.5,2019-01-16,2019-07-27,249,False
Or,Static & Ben El & רן דנקר,35,60.7,2021-07-16,2023-04-13,250,False
Or,Coldplay & Rihanna,34,83.2,2018-11-11,2026-05-16,251,False
Or,Frank Sinatra,34,72.0,2020-12-11,2026-05-08,252,False
Or,Hurts,34,42.9,2018-11-11,2024-09-17,253,False
Or,Ike & Tina Turner,34,97.6,2023-01-20,2026-05-08,254,False
Or,Sam Feldt & Tones And I,34,71.5,2024-03-04,2026-05-16,255,False
Or,The Beach Boys,34,66.7,2023-02-04,2026-05-08,256,False
Or,Kammerchor der Berliner Singakademie & Dietrich Knothe,33,15.6,2022-07-11,2025-03-01,257,False
Or,הפרויקט של עידן רייכל & שירה בן שמחון,33,68.1,2025-02-26,2026-05-12,258,False
Or,משה פרץ,33,15.6,2018-11-04,2019-11-22,259,False
Or,DNCE,32,30.8,2018-09-17,2018-12-17,260,True
Or,הראל מויאל,32,7.5,2018-10-25,2019-12-08,261,False
Or,עדן חסון & Idan Raichel,32,90.7,2022-10-06,2024-02-13,262,False
Or,רד בנד & מארינה מקסימיליאן,32,31.9,2018-11-04,2019-03-07,263,False
Or,שבט אחים ואחיות,32,37.2,2019-04-18,2019-09-03,264,False
Or,Karmin,31,34.9,2018-09-18,2023-03-07,265,False
Or,Keren Peles,31,22.4,2019-02-09,2023-03-27,266,False
Or,MaZeZe & עדן חסון,31,24.4,2019-01-29,2019-07-05,267,False
Or,ORCA,31,53.9,2020-07-27,2022-10-17,268,False
Or,Otis Redding,31,34.6,2021-05-25,2025-10-06,269,False
Or,הכוכב הבא & AVRAHAM,31,25.8,2019-01-16,2026-04-29,270,False
Or,"עומר אדם, מארינה מקסימיליאן & 'נדב גדג",31,28.9,2018-11-24,2019-06-21,271,False
Or,Elton John,30,49.2,2022-02-11,2025-07-17,272,True
Or,One Direction,30,71.4,2019-12-13,2026-04-29,273,True
Or,The Chainsmokers,30,44.3,2018-10-18,2026-04-10,274,True
Or,The Supremes,30,60.3,2023-01-20,2026-05-08,275,False
Or,Ed Sheeran & Andrea Bocelli,29,23.0,2018-09-16,2019-01-29,276,False
Or,אלון עדר,29,32.5,2019-08-04,2020-02-22,277,False
Or,רד בנד & שרית חדד,29,28.3,2018-11-04,2020-02-19,278,False
Or,GIVĒON,28,35.2,2021-06-04,2021-12-29,279,False
Or,איזי,28,20.4,2021-04-09,2022-01-08,280,False
Or,Eliana Tidhar & Tuval Shafir,27,35.8,2022-03-07,2023-04-13,281,False
Or,Jasmin Moallem,27,26.4,2020-08-07,2023-12-19,282,True
Or,Pharrell Williams,27,22.3,2018-10-05,2019-02-22,283,False
Or,Trevor Daniel,27,22.7,2019-11-22,2021-02-19,284,True
Or,שלומי שבת & אליעד,27,34.0,2020-08-08,2021-12-19,285,False
Or,Cardi B & Bruno Mars,26,45.8,2020-09-05,2024-03-30,286,False
Or,Damien Rice,26,25.9,2018-11-18,2020-05-05,287,False
Or,James Arthur,26,42.9,2018-09-18,2022-02-26,288,True
Or,"Rundfunk-Sinfonieorchester Berlin, Helmut Koch, Berlin Radio Solistenvereinigung & Wolf-Dieter Hauschild",26,32.0,2022-07-11,2025-03-01,289,False
Or,Jack White & Alicia Keys,25,21.0,2018-10-21,2021-04-23,290,False
Or,LINKIN PARK,25,38.9,2019-02-06,2020-01-25,291,False
Or,Manfred Mann,25,42.5,2023-01-21,2026-04-01,292,False
Or,Polo & Pan,25,0.8,2022-04-12,2022-04-12,293,False
Or,Raviv Kaner & העבריים מדימונה,25,39.3,2022-11-30,2026-05-06,294,False
Or,The Byrds,25,52.3,2023-01-21,2026-04-06,295,False
Or,"עדי הימלבלוי, שירה וילנסקי & דון לני גבאי",25,31.0,2022-04-19,2023-03-20,296,False
Or,Jawsh 685 x Jason Derulo,24,29.4,2020-08-08,2022-02-26,297,False
Or,Pro Arte Quartet,24,34.7,2020-10-23,2025-01-16,298,False
Or,Sly & The Family Stone,24,40.4,2023-02-04,2026-05-08,299,False
Or,Wild Cherry,24,83.8,2025-02-02,2026-05-15,300,False
Or,פלד,24,29.6,2022-10-31,2024-05-07,301,False
Or,Elvis Presley,23,52.5,2023-04-08,2026-03-29,302,False
Or,"Gucci Mane, Bruno Mars & Kodak Black",23,18.9,2018-10-18,2021-04-19,303,False
Or,Nikolaus Harnoncourt & Royal Concertgebouw Orchestra,23,81.9,2021-11-04,2025-01-16,304,False
Or,מאור אדרי & מוקי,23,40.0,2019-04-01,2019-07-12,305,False
Or,Gracie Abrams,22,41.5,2025-04-11,2026-05-17,306,False
Or,Marvin Gaye,22,51.6,2023-03-24,2026-05-08,307,False
Or,Sam Smith & Kim Petras,22,31.7,2022-10-17,2023-11-02,308,False
Or,"The Cast of High School Musical, Vanessa Hudgens & Zac Efron",22,9.9,2018-10-12,2023-09-23,309,False
Or,The Everly Brothers,22,40.3,2023-01-20,2026-05-20,310,False
Or,The Monkees,22,47.3,2023-01-20,2026-05-08,311,False
Or,The Temptations,22,48.0,2023-01-21,2026-04-06,312,False
Or,Dion,21,42.5,2023-03-17,2025-12-19,313,False
Or,Dionne Warwick,21,34.0,2024-12-27,2026-05-08,314,False
Or,Judy Roderick,21,35.7,2026-01-09,2026-05-08,315,False
Or,Static & Ben El & נסרין קדרי,21,19.4,2020-07-04,2021-08-13,316,False
Or,Travis Scott,21,20.3,2018-09-16,2020-08-08,317,False
Or,אודיה,21,8.3,2020-08-08,2026-04-07,318,True
Or,רד בנד & מוש בן ארי,21,16.3,2018-11-04,2026-04-30,319,False
Or,"Alexandre Tharaud, Bernard Labadie & Les Violons du Roy",20,62.1,2020-10-23,2025-01-16,320,False
Or,Lesley Gore,20,39.7,2023-01-21,2026-05-08,321,False
Or,"Peter Schreier, Theo Adam, Rundfunk-Sinfonieorchester Berlin, Helmut Koch, Regina Werner, Berlin Radio Solistenvereinigung & Wolf-Dieter Hauschild",20,58.3,2022-07-11,2025-03-01,322,False
Or,Rajiv Dhall,20,14.7,2018-09-18,2019-01-10,323,False
Or,The 5th Dimension,20,50.0,2025-05-16,2026-05-12,324,False
Or,The Hollies,20,45.4,2023-02-24,2026-05-08,325,False
Or,ZAYN,20,18.0,2018-09-28,2024-12-03,326,True
Or,אדם רודברג & עדי הימלבלוי,20,33.6,2022-02-25,2023-04-13,327,False
Or,אייל גולן,20,4.5,2019-02-28,2023-07-17,328,False
Or,Daddy Yankee,19,39.1,2019-05-11,2019-08-25,329,True
Or,Lady Gaga & Bruno Mars,19,59.4,2025-02-02,2026-05-15,330,False
Or,MisterWives,19,22.3,2018-11-27,2019-02-22,331,False
Or,Procol Harum,19,56.9,2023-01-21,2026-04-01,332,False
Or,Roderich Kreile & Dresdner Kreuzchor,19,28.7,2022-07-11,2024-12-25,333,False
Or,"Sam Smith, Koffee & Jessie Reyez",19,28.3,2023-04-17,2024-02-12,334,False
Or,הדג נחש & אברהם טל,19,23.7,2019-06-26,2019-10-10,335,False
Or,Carmen Twillie & Lebo M,18,8.6,2019-01-27,2021-04-21,336,False
Or,Dusty Springfield,18,32.3,2023-01-20,2026-04-01,337,False
Or,Frankie Valli,18,39.1,2023-01-21,2026-05-08,338,False
Or,Jackson 5,18,33.3,2022-12-23,2026-05-08,339,False
Or,Lil Nas X,18,11.8,2019-05-11,2022-10-17,340,True
Or,יובל רפאל,18,40.4,2025-05-21,2026-05-19,341,False
Or,רד בנד & Ester Rada,18,17.7,2018-11-06,2019-01-11,342,False
Or,LunchMoney Lewis,17,33.9,2024-11-20,2026-05-20,343,False
Or,Mstislav Rostropovich & Academy of St Martin in the Fields,17,110.1,2020-10-23,2025-01-16,344,False
Or,"Wolf-Dieter Hauschild, Soloists of Berlin Radio Chorus, Dieter Zechlin & Klaus Bassler",17,20.2,2022-07-11,2024-12-25,345,False
Or,הכוכב הבא & קובי מרימי,17,17.9,2019-01-18,2025-12-24,346,False
Or,Stephane Legar,16,23.0,2020-01-20,2022-10-17,347,True
Or,The Lovin' Spoonful,16,25.2,2023-01-21,2025-10-06,348,False
Or,The Ronettes,16,28.0,2023-03-17,2026-04-27,349,False
Or,ישי ריבו & Nathan Goshen,16,9.0,2020-09-10,2021-05-14,350,False
Or,Camila Cabello,15,16.3,2020-02-24,2026-04-29,351,True
Or,Gotye,15,26.2,2025-07-31,2026-05-20,352,True
Or,Maceo Parker,15,12.0,2019-01-02,2021-01-26,353,False
Or,Ohad Shragai,15,6.0,2018-12-13,2020-04-17,354,False
Or,"The Deutsche Kammerphilharmonie Bremen, Frieder Bernius, Stuttgart Chamber Choir, Peter Grönlund, Christoph Prégardien, Cornelius Hauptmann, Soile Isokoski & Martina Borst",15,37.6,2022-07-11,2024-12-25,355,False
Or,אייל גולן & בניה ברבי,15,14.7,2019-04-20,2019-07-29,356,False
Or,"דורית ראובני, Dudu Zakai, Uzi meiri & Dorit Pen",15,0.8,2023-05-23,2023-05-23,357,False
Or,נוי פדלון,15,7.1,2019-01-02,2019-04-20,358,False
Or,Balkan Beat Box,14,41.1,2025-05-04,2026-05-15,359,False
